evidence_label,modality,representation,score,rule,subset,n_genuine,n_impostor,threshold,TP,FN,FP,TN,FAR,FRR,TAR,accuracy,precision,recall,F1,subset_EER,subset_EER_threshold
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.63,2748,1775,46,80854,0.000568603,0.392439,0.607561,0.978683,0.983536,0.607561,0.751128,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.64,2667,1856,39,80861,0.000482077,0.410347,0.589653,0.977816,0.985588,0.589653,0.737861,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.65,2557,1966,30,80870,0.000370828,0.434667,0.565333,0.976634,0.988404,0.565333,0.719269,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.66,2463,2060,21,80879,0.00025958,0.45545,0.54455,0.975639,0.991546,0.54455,0.703011,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.67,2374,2149,16,80884,0.000197775,0.475127,0.524873,0.974656,0.993305,0.524873,0.686822,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.68,2253,2270,12,80888,0.000148331,0.501879,0.498121,0.973286,0.994702,0.498121,0.663819,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.69,2141,2382,8,80892,9.88875e-05,0.526642,0.473358,0.972022,0.996277,0.473358,0.641787,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.7,2025,2498,8,80892,9.88875e-05,0.552288,0.447712,0.970664,0.996065,0.447712,0.617755,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.71,1895,2628,6,80894,7.41656e-05,0.58103,0.41897,0.969165,0.996844,0.41897,0.589975,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.72,1765,2758,4,80896,4.94438e-05,0.609772,0.390228,0.967667,0.997739,0.390228,0.56103,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.73,1649,2874,3,80897,3.70828e-05,0.635419,0.364581,0.966321,0.998184,0.364581,0.534089,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.74,1520,3003,1,80899,1.23609e-05,0.66394,0.33606,0.964834,0.999343,0.33606,0.502978,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.75,1380,3143,1,80899,1.23609e-05,0.694893,0.305107,0.963195,0.999276,0.305107,0.46748,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.76,1254,3269,1,80899,1.23609e-05,0.72275,0.27725,0.96172,0.999203,0.27725,0.43406,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.77,1129,3394,1,80899,1.23609e-05,0.750387,0.249613,0.960257,0.999115,0.249613,0.399434,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.78,1008,3515,0,80900,0,0.777139,0.222861,0.958852,1,0.222861,0.364491,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.79,878,3645,0,80900,0,0.805881,0.194119,0.95733,1,0.194119,0.325125,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.8,764,3759,0,80900,0,0.831086,0.168914,0.955995,1,0.168914,0.289011,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.81,654,3869,0,80900,0,0.855406,0.144594,0.954708,1,0.144594,0.252656,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.82,558,3965,0,80900,0,0.876631,0.123369,0.953584,1,0.123369,0.219642,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.83,461,4062,0,80900,0,0.898076,0.101924,0.952448,1,0.101924,0.184992,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.84,379,4144,0,80900,0,0.916206,0.0837939,0.951488,1,0.0837939,0.154631,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.85,317,4206,0,80900,0,0.929914,0.0700862,0.950763,1,0.0700862,0.130992,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.86,239,4284,0,80900,0,0.947159,0.052841,0.94985,1,0.052841,0.100378,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.87,177,4346,0,80900,0,0.960867,0.0391333,0.949124,1,0.0391333,0.0753191,0.0711892,0.300764
REAL DATA,face,raw_embedding,raw_cosine,>=,all,4523,80900,0.88,130,4393,0,80900,0,0.971258,0.028742,0.948574,1,0.028742,0.0558779,0.0711892,0.300764
